Law Type,Law Name/Section,Law Details,Law Summary,Applicability,Whom to Approach,Historical Context,Real-life Example
CrPC,Section 265A - Plea Bargaining,"Accused can request to plead guilty for a lesser sentence in certain cases.","Helps you get a reduced sentence for admitting guilt in minor offences.","If you are willing to admit guilt, ask your lawyer about plea bargaining options.","Approach court for plea bargaining with the help of your lawyer.","Introduced for quick resolution of minor cases.","Accused pleads guilty in a small fraud case and gets reduced punishment."
CrPC,Section 299 - Evidence in Absence of Accused,"Court can record evidence if accused is absconding.","Prevents delay when accused is missing.","If accused runs away, court can still collect evidence to use later.","Victim or witnesses should cooperate with court proceedings.","Ensures justice even when accused absconds.","Court records witness statements in a murder case even though accused is missing."
CrPC,Section 313 - Power to Examine the Accused,"Court can question the accused during trial for clarification.","Gives you a chance to explain your side in court.","If you are accused, answer court questions honestly during the trial.","Consult your lawyer before answering.","Ensures fairness in trial.","Accused explains actions in a theft case."
CrPC,Section 320 - Compounding of Offences,"Certain offences can be settled between parties with court’s permission.","Allows you to resolve minor criminal matters amicably.","If you and the victim agree to settle a minor offence, apply for compounding in court.","File an application through your lawyer for permission to compound the offence.","Encourages settlements for minor cases.","Parties settle a simple assault case out of court."
CrPC,Section 327 - Court to be Open,"Trials must be conducted in open court, except in special cases (like rape).","Ensures transparency, but also privacy in sensitive cases.","If your case is sensitive (sexual offences), you can request for in-camera proceedings.","Ask the court for privacy if needed.","Balances transparency and privacy.","Rape trial conducted privately for victim’s safety."
CrPC,Section 340 - Procedure in Cases of Perjury,"Court can take action against people who lie under oath.","Discourages false evidence in court.","If you are falsely accused by someone lying in court, request perjury proceedings.","Inform your lawyer and court about false statements.","Prevents misuse of justice system.","Witness caught lying about accident events."
CrPC,Section 354 - Judgment,"Court must state reasons for its judgment in every case.","Ensures you understand why you won or lost the case.","After trial, you can request a written judgment from the court.","Ask your lawyer to get a copy of the judgment.","Promotes transparency in judgments.","Court explains reasons for conviction in a robbery case."
CrPC,Section 357 - Order to Pay Compensation,"Court can order the accused to pay compensation to the victim.","Ensures victims are compensated for their loss or injury.","If you are a victim, request the court to order compensation during sentencing.","Ask your lawyer to make a compensation application.","Helps victims get financial relief.","Victim receives compensation after assault conviction."
CrPC,Section 372 - Appeal in Case of Acquittal,"Victim can appeal if accused is acquitted.","Gives victims the right to challenge not-guilty verdicts.","If you disagree with the acquittal, file an appeal in the higher court.","Consult your lawyer for appeal process and time limits.","Empowers victims in the justice system.","Victim appeals after accused is acquitted in a theft case."
CrPC,Section 374 - Appeals from Convictions,"Accused can appeal conviction in higher court.","Allows you to challenge your conviction or sentence.","If convicted by a lower court, file an appeal in the Sessions or High Court.","Ask your lawyer about the appeal procedure and timelines.","Ensures right to appeal.","Accused appeals conviction for fraud."
CrPC,Section 378 - Appeal in Case of Acquittal by Public Prosecutor,"State can appeal acquittal of accused if evidence exists.","Ensures government can challenge wrongful acquittals.","If accused is acquitted, prosecution can appeal in higher court.","Check with prosecution or government lawyer for appeal status.","Gives state power to challenge acquittals.","Prosecutor appeals acquittal in a murder case."
CrPC,Section 397 - Calling for Records to Exercise Powers of Revision,"Higher courts can review lower court orders for errors.","Allows you to seek correction of mistakes in lower court orders.","If you believe a lower court made a legal error, apply for revision in Sessions or High Court.","Consult your lawyer for revision application.","Ensures justice is served correctly.","High Court reviews lower court’s bail order."
CrPC,Section 406 - Power of Supreme Court to Transfer Cases and Appeals,"Supreme Court can transfer cases for fair trial.","Ensures impartial trial if there is apprehension of bias or threat.","If you feel you won’t get a fair trial locally, apply for transfer to the Supreme Court.","Ask your lawyer to file a transfer petition.","Used in sensitive or high-profile cases.","Murder case transferred from local court to another state."
CrPC,Section 438 - Direction for Grant of Anticipatory Bail,"Person fearing arrest can apply for anticipatory bail.","Allows you to avoid arrest by seeking bail in advance.","If you believe you may be falsely arrested, apply for anticipatory bail in Sessions or High Court.","Engage a lawyer to file anticipatory bail application.","Protects against false or motivated arrests.","Businessman applies for anticipatory bail in fraud case."
CrPC,Section 439 - Special Powers of High Court or Court of Session Regarding Bail,"Higher courts can grant, cancel, or modify bail conditions.","Lets you seek bail or challenge bail cancellation in higher courts.","If bail is denied or cancelled, approach Sessions Court or High Court.","Consult your lawyer for bail hearing.","Ensures fair opportunity for bail in serious cases.","High Court grants bail in a murder case."
CrPC,Section 482 - Inherent Powers of High Court,"High Court can act to prevent abuse of legal process and secure justice.","Allows you to approach High Court for extraordinary relief if law is being misused.","If you are victim of harassment or frivolous legal action, approach High Court under Section 482.","Contact a lawyer to file a 482 petition.","Used in rare or special circumstances.","High Court quashes false FIR."
CrPC,Section 498A - Cognizance of Cruelty by Husband or Relatives,"Police can act on complaints of cruelty against married women.","Protects women from domestic violence and harassment by in-laws.","If you or someone you know faces cruelty or dowry harassment, file a complaint at the police station.","Approach police or women’s helpline for support.","Key tool for women’s protection.","Wife complains of abuse by husband and his family."
CrPC,Section 503 - Criminal Intimidation,"Police can act on threats against you or your property.","Protects you from being threatened with injury or harm.","If you receive threats, report to police with details or evidence.","Contact police immediately for help and protection.","Covers all forms of threats and blackmail.","Businessman receives threats for extortion."
CrPC,Section 506 - Punishment for Criminal Intimidation,"Court can punish those who threaten others with harm.","Ensures strict penalty for intimidation or blackmail.","If you are threatened, file a police complaint and cooperate with investigation.","Police will investigate and help you approach court.","Deters criminal intimidation.","Person threatens neighbour to vacate property."
CrPC,Section 509 - Word, Gesture or Act Intended to Insult the Modesty of a Woman,"Police act on complaints of verbal or physical harassment of women.","Protects women from abuse, gestures, or acts harming dignity.","If you or someone you know faces such harassment, file a police complaint.","Approach local police station or women’s cell.","Empowers women to report abuse and harassment.","Woman files complaint against catcalling in public."
CrPC,Section 511 - Attempt to Commit Offences,"Punishes attempts to commit crime even if not completed.","Protects you from incomplete or failed criminal acts.","If someone tries but fails to steal, hurt, or defraud, report to police.","Police will investigate and file appropriate charges.","Covers all attempted crimes.","Caught attempting to break into a house but didn’t succeed."
CrPC,Section 151 - Preventive Arrest to Maintain Public Order,"Police may arrest to prevent commission of cognizable offences.","Helps police prevent crimes before they happen.","If police suspect a crime is about to occur, they may detain suspects temporarily.","Police must release the person if no offence is committed within 24 hours.","For public order maintenance.","Police detain suspected troublemakers before a rally."
